expiry_date;reference_id;control_timestamp;allee
2022-10-13;7613033199301;2021-04-13 08:21:32.512+00;R14 sucré bebe
2021-11-30;7613037086218;2021-04-20 09:09:22.274+00;R14 sucré bebe
2021-12-10;3041091674845;2021-05-05 09:32:07.785+00;R14 sucré bebe
2022-01-08;3041091674838;2021-05-05 09:32:28.568+00;R14 sucré bebe
2021-12-05;3041091669445;2021-05-05 09:33:25.807+00;R14 sucré bebe
2021-12-01;3041091221957;2021-05-19 07:54:10.633+00;R14 sucré bebe
2021-12-31;7613031272990;2021-05-19 08:14:13.766+00;R14 sucré bebe
2022-01-08;3041091674852;2021-05-19 08:14:46.644+00;R14 sucré bebe
2022-03-08;3041090013911;2021-09-17 10:07:33.667+00;R14 sucré bebe
2021-11-30;7613039333365;2021-06-11 08:07:43.135+00;R14 sucré bebe
2022-03-21;5900852045554;2021-09-06 09:19:26.87+00;R14 sucré bebe
2022-01-30;7613032282837;2021-07-15 09:38:46.868+00;R14 sucré bebe
2022-01-31;3033710036639;2021-06-15 06:34:22.025+00;R14 sucré bebe
2022-01-07;3041091567086;2021-06-21 11:12:37.432+00;R14 sucré bebe
2021-12-30;7613035447035;2021-06-23 08:21:17.726+00;R14 sucré bebe
2021-11-30;7613035485112;2021-07-16 09:40:57.508+00;R14 sucré bebe
2021-12-20;3041091397362;2021-08-23 07:39:24.473+00;R14 sucré bebe
2021-11-30;7613031409730;2021-07-15 09:38:09.648+00;R14 sucré bebe
2022-03-16;3041091563323;2021-10-23 08:14:13.082+00;R14 sucré bebe
2022-03-11;3041091400260;2021-10-23 08:14:27.742+00;R14 sucré bebe
2022-07-26;3041091401397;2021-10-13 12:01:40.91+00;R14 sucré bebe
2022-03-31;7613035485464;2021-08-24 09:40:21.059+00;R14 sucré bebe
2022-05-30;7613033478215;2021-08-24 09:40:49.173+00;R14 sucré bebe
2021-12-08;3041091280985;2021-08-24 09:42:21.439+00;R14 sucré bebe
2021-12-31;7613035447066;2021-08-25 08:39:56.268+00;R14 sucré bebe
2022-02-22;7613031927241;2021-08-25 08:41:07.856+00;R14 sucré bebe
2021-12-31;3041091400352;2021-08-25 08:43:24.305+00;R14 sucré bebe
2022-01-07;3041091563347;2021-08-25 08:44:35.918+00;R14 sucré bebe
2022-03-12;3041091606747;2021-08-27 08:05:34.026+00;R14 sucré bebe
2022-02-21;3041091280770;2021-08-27 08:06:12.105+00;R14 sucré bebe
2021-12-08;3041091399946;2021-08-27 08:07:33.502+00;R14 sucré bebe
2022-03-15;3041091400178;2021-08-27 08:07:57.509+00;R14 sucré bebe
2021-11-22;3041091280978;2021-08-28 08:34:46.86+00;R14 sucré bebe
2022-02-09;3041091397430;2021-08-30 08:20:56+00;R14 sucré bebe
2022-02-16;3041091221926;2021-08-30 08:24:32+00;R14 sucré bebe
2022-03-02;3041091221988;2021-09-21 09:09:39.09+00;R14 sucré bebe
2022-01-21;3041091200594;2021-09-21 09:11:21.781+00;R14 sucré bebe
2022-04-28;3041091221940;2021-09-10 11:29:34.276+00;R14 sucré bebe
2022-04-14;3041091221902;2021-09-10 11:29:58.581+00;R14 sucré bebe
2022-04-23;3041090013928;2021-08-31 11:02:04.114+00;R14 sucré bebe
2021-11-09;3041091463814;2021-10-25 06:39:36.242+00;R14 sucré bebe
2022-02-23;3041091222015;2021-09-01 12:22:23.67+00;R14 sucré bebe
2022-01-16;3041091620293;2021-08-04 10:58:16.357+00;R14 sucré bebe
2022-02-01;3041091400246;2021-08-17 12:17:22.523+00;R14 sucré bebe
2022-07-01;3041091563330;2021-09-23 09:18:45.598+00;R14 sucré bebe
2022-05-04;3041090602054;2021-10-15 13:53:25.864+00;R14 sucré bebe
2022-03-19;3041090012747;2021-10-15 13:54:16.748+00;R14 sucré bebe
2022-03-31;7613035447097;2021-10-15 13:55:21.342+00;R14 sucré bebe
2021-12-31;3033710064427;2021-10-15 13:56:45.729+00;R14 sucré bebe
2021-11-30;7613032968724;2021-10-15 13:57:25.884+00;R14 sucré bebe
2022-02-28;7613032372583;2021-09-15 09:32:14.789+00;R14 sucré bebe
2022-01-31;7613031660728;2021-09-15 09:35:03.829+00;R14 sucré bebe
2022-01-31;7613036312783;2021-09-15 09:35:47.916+00;R14 sucré bebe
2021-11-30;3033710064434;2021-09-15 09:36:59.515+00;R14 sucré bebe
2021-12-31;7613031660698;2021-09-15 09:38:20.267+00;R14 sucré bebe
2021-09-30;7613034099907;2021-09-15 09:38:51.574+00;R14 sucré bebe
2022-05-22;3041091620415;2021-10-02 11:38:41.861+00;R14 sucré bebe
2021-12-06;3041091347459;2021-09-25 10:46:58.751+00;R14 sucré bebe
2021-11-30;7613036313148;2021-09-25 10:48:27.932+00;R14 sucré bebe
2022-04-30;7613038151731;2021-10-16 14:47:19.613+00;R14 sucré bebe
